PMC_ID,PMC_Year,Journal,Article Title,Secondary analysis,Data availability statement (yes/no),Data availability (yes/no),"If Data availability = yes, where do they share data? (SRA/GEO/other)","If other database, specifiy which one",Code availability statement (Yes/No),Code availability (Yes/No (reason)),Code availability (Yes/No),"If Code availability = yes,  What kind of code do they share?","If Code availability = yes, where do they share code (supplementary/ GitHub/ other)","If Code availability = yes, do they share the code as notebook or R markdown file (.Rmd)? (yes/no)","If yes, notebook/Rmd","If yes, single/ multiple",Summary data (yes/ no/ partial),Number of citations,Gender of the PI,"Experience of PI/ Last author (Check their profile or webpage to see whether they are an associate/ assistant/ professor/ professor emiretus, etc)",PI/ last author's training background - CS/ Bioinformatics/ Other,PI (last author's) education level - PhD/PostDoc/ Master's etc,First author's education level,First author's training background (CS/ Bioinformatics/ Other)
PMC5462860,2017,Nat_Biotechnol,CRISPR–Cas9 epigenome editing enables high-throughput screening for functional regulatory elements in the human genome,no,yes,yes,GEO,,No,No,No,,,,,,No,286,Male,Professor,Other,Phd,Phd,Other
PMC5722674,2017,Nat_Biotechnol,Generation of TCRs of higher affinity by antigen-driven differentiation of progenitor T cells in vitro,no,yes,yes,other,ImmuneACCESS,No,No,No,,,,,,No,24,Male,Professor,Other,"MD,Postdoc",,
PMC5557292,2017,Nat_Biotechnol,Synergistic drug combinations for cancer identified in a CRISPR screen for pairwise genetic interactions,no,yes,yes,SRA,,No,No (Available upon request),No,,,,,,No,300,Male,Associate Professor,Other,Postdoc,Phd,Other
PMC5800952,2017,Nat_Biotechnol,Orthologous CRISPR-Cas9 enzymes for Combinatorial Genetic Screens,no,yes,yes,other,zip file,Yes,Yes,Yes,Pipeline,GitHub,No,,,,171,Male,Director of Research,Other,Phd,Phd,Other 
PMC5462879,2017,Nat_Biotechnol,In vivo genome editing and organoid transplantation models of colorectal cancer,yes,,,,,No,No,No,,,,,,No,187,Male,Associate Professor,Other,"MD, Postdoc",Postdoc,Other
PMC5388574,2017,Nat_Biotechnol,Increasing the genome-targeting scope and precision of base editing with engineered Cas9-cytidine deaminase fusions,yes,,,,,No,No,No,,,,,,No,513,Male,Professor,Other,Phd,Phd,Other
PMC5607865,2017,Nat_Biotechnol,GuideScan software for improved single and paired CRISPR guide RNA design,yes,,,,,No,Yes,Yes,Software,Other (BitBucket),No,,,No,130,Male,Member,Other,"MD, Phd","MD, Phd",Bioinformatics
PMC5664152,2017,Nat_Genet,Germline hypomorphic CARD11 mutations in severe atopic disease,no,yes,No (Available upon request),,,No,No,No,,,,,,No,121,Male,Professor,Other,MD,,
PMC5803080,2017,Nat_Genet,SMARCB1 is required for widespread BAF complex-mediated activation of enhancers and bivalent promoters,no,yes,yes,GEO,,No,No,No,,,,,,No,132,Female,Associate Professor,Other,Phd,,
PMC5560095,2017,Nat_Genet,Kmt1e regulates a large neuron-specific topological chromatin domain,no,yes,yes,GEO,,No,No,No,,,,,,No,96,Male,Professor,Other,"MD,Phd",Postdoc,Other
PMC5675000,2017,Nat_Genet,"Contribution of rare inherited and de novo variants in 2,871 congenital heart disease probands",no,yes,yes,other,dbGaP,No,No,No,,,,,,No,391,Female,Professor,Other,MD,Phd,Other Statistical Genetics
PMC5490654,2017,Nat_Genet,Meta-analysis of five genome-wide association studies identifies multiple new loci associated with testicular germ cell tumor,no,yes,yes,other,EGA,No,No,No,,,,,,No,86,Female,Professor,Other,MD,Phd,Other
PMC5326681,2017,Nat_Genet,Genome-wide association analyses for lung function and chronic obstructive pulmonary disease identify new loci and potential druggable targets,no,yes,yes,other,Biobank,No,No,No,,,,,,No,211,Male,Professor,,,,
PMC5709169,2017,Nat_Genet,Ancient hybridization and strong adaptation to viruses across African vervet monkey populations,no,yes,yes,other,NCBI SRA,No,No,No,,,,,,No,57,Male,Associate Professor,Other,Postdoc,Postdoc,Computational Genomics
PMC5659388,2017,Nat_Genet,Recurrent noncoding regulatory mutations in pancreatic ductal adenocarcinoma,no,yes,yes,other,IGCG,No,No (Available upon request),No,,,,,,No,44, Male,Professor,Other,"MD,Phd",Phd,Other
PMC5621629,2017,Nat_Genet,Identification of 153 new loci associated with heel bone mineral density and functional involvement of GPC6 in osteoporosis,yes,,,,,No,No,No,,,,,,No,266,Male,Professor,Other Statistical Genetics,Phd,Phd,Genetics
PMC5395419,2017,Nat_Genet,"Fast, scalable prediction of deleterious noncoding variants from functional and population genomic data",yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,221,Male,Professor,CS,Phd,Phd,Other
PMC5909187,2017,Nat_Methods,Inducible and multiplex gene regulation using CRISPR-Cpf1-based transcription factors,no,yes,No (Available upon request),,,No,No,No,,,,,,No,137,Male,Professor,Other Genetics,"MD,Phd",Phd,Epigenetics
PMC5426913,2017,Nat_Methods,Generation of mature T cells from human hematopoietic stem/progenitor cells in artificial thymic organoids,no,yes,No (Available upon request),,,No,No,No,,,,,,No,97,Female,Associate Project Scientist,Other,Phd,"MD,Phd",Other
PMC5636219,2017,Nat_Methods,Internally ratiometric fluorescent sensors for evaluation of intracellular GTP levels and distribution,no,yes,No (Available upon request),,,No,No,No,,,,,,No,32,Male,Professor,Other Genetics,Phd,Phd,Other
PMC5482233,2017,Nat_Methods,Large-field-of-view imaging by Multi-Pupil Adaptive Optics,no,yes,No (Available upon request),,,Yes,No,No,,,,,,No,69,Male,Assistant Professor,Other,Phd,Postdoc,Other
PMC5730411,2017,Nat_Methods,Rapidly inducible Cas9 and DSB-ddPCR to probe editing kinetics,no,yes,yes,other,NCBI,No,No,No,,,,,,No,59,Male,Associate Professor,Other,Phd,,
PMC5777571,2017,Nat_Methods,One-step generation of conditional and reversible gene knockouts,no,yes,yes,other,Addgene,No,No,No,,,,,,No,46,Male,Group Leader,Other ,Phd,Phd,Other
PMC5678970,2017,Nat_Methods,Red-shifted luciferase-luciferin pairs for enhanced bioluminescence imaging,no,yes,yes,other,GenBank,No,No,No,,,,,,No,99,Male,Associate Professor,Other,Postdoc,Phd,Other
PMC5334791,2017,Nat_Methods,Pooled CRISPR screening with single-cell transcriptome read-out,no,yes,yes,other,gb file,Yes,Yes,Yes,Analytical,"GitHub, Supplementary",No,,,Yes,463,Male,Professor,Bioinformatics,Postdoc,Phd,Other
PMC6026581,2017,Nat_Methods,Interactome INSIDER: a structural interactome browser for genomic studies,yes,,,,,Yes,Yes,Yes,Tool,GitHub,Yes,Notebook,single,No,89,Male,Professor,Bioinformatics,Postdoc,Phd,Computational Biology
PMC5564216,2017,Nat_Methods,CrY2H-seq: a massively-multiplexed assay for deep coverage interactome mapping,yes,,,,,Yes,Yes,Yes,Analytical,Supplementary,No,,,Yes,98,Male,Professor,Other,Postdoc,Phd,Other
PMC5389697,2017,Nucleic_Acids_Res,Alternative lengthening of telomeres can be maintained by preferential elongation of lagging strands,no,no,no,,,No,No,No,,,,,,No,45,Male,Professor,Other,Phd,Phd,Other
PMC5814900,2017,Nucleic_Acids_Res,Triggering nucleic acid nanostructure assembly by conditional kissing interactions,no,no,no,,,No,No,No,,,,,,No,8,Male,CSO,Other,Phd,Postdoc,Other
PMC5570051,2017,Nucleic_Acids_Res,Precise integration of inducible transcriptional elements (PrIITE) enables absolute control of gene expression,no,no,no,,,No,No,No,,,,,,No,16,Male,Associate Professor,Other,Phd,,
PMC5861427,2017,Nucleic_Acids_Res,ExoCET: exonuclease in vitro assembly combined with RecET recombination for highly efficient direct DNA cloning from complex genomes,no,no,no,,,No,No,No,,,,,,No,71,,,,,,
PMC5737895,2017,Nucleic_Acids_Res,ExoCET: exonuclease in vitro assembly combined with RecET recombination for highly efficient direct DNA cloning from complex genomes,no,no,no,,,No,No,No,,,,,,No,12,Male,Assistant Professor,Other,Postdoc,Phd,Other
PMC5766199,2017,Nucleic_Acids_Res,CLIP-seq analysis of multi-mapped reads discovers novel functional RNA regulatory sites in the human transcriptome,no,no,no,,,No,Yes,Yes,Pipeline,GitHub,No,,,No,31,Male,Professor,Bioinformatics,Postdoc,Phd,Bioinformatics
PMC5737570,2017,Nucleic_Acids_Res,The yeast 2-μm plasmid Raf protein contributes to plasmid inheritance by stabilizing the Rep1 and Rep2 partitioning proteins,no,no,yes,other,Genbank,No,No,No,,,,,,No,10,Female,Professor,Other,Postdoc,Postdoc,
PMC5737898,2017,Nucleic_Acids_Res,LDB1-mediated enhancer looping can be established independent of mediator and cohesin,yes,,,,,No,No,No,,,,,,No,37,Female,Senior Investigator,,Phd,Phd,Other Molecular Genetics
PMC5389708,2017,Nucleic_Acids_Res,Cytidine deaminase efficiency of the lentiviral viral restriction factor APOBEC3C correlates with dimerization,yes,,,,,No,No,No,,,,,,No,37,Female,Professor,Other,Postdoc,Postdoc,Other
PMC5753376,2017,Nucleic_Acids_Res,The SysteMHC Atlas project,yes,,,,,No,No,No,,,,,,No,91,Male,Assistant Professor,Bioinformatics,Postdoc,Postdoc,Other 
PMC6662083,2018,Bioinformatics,"CASMAP: detection of statistically significant combinations of SNPs in association mapping
",yes,,,,,Yes,Yes,Yes,Package,GitHub,Yes,"Rmd, ipynb",Multiple,No,8,Male,Professor,CS,Postdoc,Phd,Computational Biology
PMC6581432,2018,Bioinformatics,"MAGpy: a reproducible pipeline for the downstream analysis of metagenome-assembled genomes (MAGs)
",yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,25,Male,Professor,Bioinformatics,Phd,Phd,Bioinformatics
PMC6022719,2018,Bioinformatics,"Deconvolution and phylogeny inference of structural variations in tumor genomic samples
",yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,Yes,28,Male,Professor,CS,Postdoc,MS,Computational Biology
PMC6022601,2018,Bioinformatics,"Association mapping in biomedical time series via statistically significant shapelet mining
",yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,20,Male,Professor,CS,Postdoc,Phd,Bioinformatics
PMC6041755,2018,Bioinformatics,"Network-based integration of multi-omics data for prioritizing cancer genes
",yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,,80,Male,Professor,CS,Postdoc,MS,CS
PMC6247942,2018,Bioinformatics,"MolArt: a molecular structure annotation and visualization tool
",yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,16,Male,Head and Professor,Other,Phd,Postdoc,CS
PMC6129310,2018,Bioinformatics,"CaSiAn: a Calcium Signaling Analyzer tool
",yes,,,,,Yes,Yes,Yes,Tool,GitHub,No,,,No,8,Male,Associate Professor,Other,Postdoc,Phd,CS
PMC6022688,2018,Bioinformatics,Enumerating consistent sub-graphs of directed acyclic graphs: an insight into biomedical ontologies,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,6,Male,Assistant Professor,CS,Phd,Phd,CS
PMC6022691,2018,Bioinformatics,"Scalable preprocessing for sparse scRNA-seq data exploiting prior knowledge
",yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,Yes,Notebook,Multiple,Yes,15,Male,Assistant Professor,Other Electrical and Computer Engineering,Phd,Phd,Other Electrical and Computer Engineering
PMC6084591,2018,Bioinformatics,"ONETOOL for the analysis of family-based big data
",yes,,,,,Yes,Yes,Yes,Pipeline,Other (Website),No,,,No,13,Male,Professor,Other,Postdoc,Phd,Other Biostatistics
PMC6038323,2018,BMC_Bioinformatics,A deep learning approach to bilingual lexicon induction in the biomedical domain,yes,,,,,No,No,No,,,,,,No,9,Female,Professor,CS,Phd,Phd,CS
PMC6245584,2018,BMC_Bioinformatics,Computational discovery of direct associations between GO terms and protein domains,yes,,,,,No,No,No,,,,,,No,3,Female,Research Officer,CS,Phd,Phd,CS
PMC6020218,2018,BMC_Bioinformatics,ToTem: a tool for variant calling pipeline optimization,yes,,,,,Yes,No (Link expired),No,,,,,,Can't tell,2,Female,Professor,,,Phd,Other Genetics
PMC5796405,2018,BMC_Bioinformatics,Grid-based prediction of torsion angle probabilities of protein backbone and its application to discrimination of protein intrinsic disorder regions and selection of model structures,yes,,,,,Yes,No (Link expired),No,,,,,,Can't tell,10,Male,Professor,Other,Postdoc,Phd,Other
PMC6020255,2018,BMC_Bioinformatics,ProMotE: an efficient algorithm for counting independent motifs in uncertain network topologies,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,1,Male,Professor,CS,Phd,Phd,CS
PMC5998916,2018,BMC_Bioinformatics,Computing the family-free DCJ similarity,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,18,Male,Professor,Bioinformatics,Postdoc,Phd,CS
PMC6134797,2018,BMC_Bioinformatics,Priority-Lasso: a simple hierarchical approach to the prediction of clinical outcome using multi-omics data,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,23,Female,Professor,Other,Phd,MS,Other 
PMC6247705,2018,BMC_Bioinformatics,ASGAL: aligning RNA-Seq data to a splicing graph to detect novel alternative splicing events,yes,,,,,No,Yes,Yes,Tool,GitHub,No,,,No,23,Female,Professor,CS and Bioinformatics,Phd,Phd,CS
PMC6003080,2018,BMC_Bioinformatics,Taxonomy-aware feature engineering for microbiome classification,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,35,Male,Associate Professor,CS,Phd,Phd,CS and Bioinformatics
PMC6286514,2018,BMC_Bioinformatics,GOnet: a tool for interactive Gene Ontology analysis,yes,,,,,Yes,Yes,Yes,Tool,GitHub,No,,,No,87,Male,Professor,Other,Phd,,
PMC5870398,2018,Genome_Biol,Correction to: Redefining mouse transgenesis with CRISPR/Cas9 genome editing technology,no,no,no,,,No,No,No,,,,,,No,36,Male,Group Leader,Other,"MD, Phd",,
PMC6299574,2018,Genome_Biol,Exploring the genetic basis of human population differences in DNA methylation and their causal impact on immune gene regulation,no,yes,yes,GEO,,No,No,No,,,,,,No,49,Male,Head ,Other Genetics,Phd,,
PMC6305572,2018,Genome_Biol,SCOPE-Seq: a scalable technology for linking live cell imaging and single-cell RNA sequencing,no,yes,yes,GEO,,No,No,No,,,,,,No,23,Male,Associate Professor,Other,Postdoc,Postdoc,Other
PMC5984373,2018,Genome_Biol,UMI-count modeling and differential expression analysis for single-cell RNA sequencing,no,yes,yes,GEO,,Yes,Yes,Yes,Pipeline,Other (Bitbucket),Yes,Rmd,Single,Yes,48,Male,Assistant Member,Other Computational Biology,Postdoc,Postdoc,CS
PMC6203279,2018,Genome_Biol,Canonical and single-cell Hi-C reveal distinct chromatin interaction sub-networks of mammalian transcription factors,yes,,,,,No,No,No,,,,,,No,19,Male,Senior Investigator,Other,Phd,,
PMC5759268,2018,Genome_Biol,Epigenetic supersimilarity of monozygotic twin pairs,yes,,,,,No,No,No,,,,,,No,59,Male,Professor,Other Genetics,Postdoc,Phd,CS
PMC5815211,2018,Genome_Biol,Ageing-associated DNA methylation dynamics are a molecular readout of lifespan variation among mammalian species,yes,,,,,No,No,No,,,,,,No,36,Male,Professor,Other Epigenetics,Postdoc,Phd,Other
PMC6097284,2018,Genome_Biol,Linking the International Wheat Genome Sequencing Consortium bread wheat reference genome sequence to wheat genetic and phenomic data,yes,,,,,No,No,No,,,,,,No,125,Male,Leader,Bioinformatics,Postdoc,,
PMC5870483,2018,Genome_Biol,Pulling the genome in opposite directions to dissect gene networks,yes,,,,,No,No,No,,,,,,No,2,Male,Professor,Other Genetics,Phd,Phd,Other
PMC6036703,2018,Genome_Biol,"Splicing heterogeneity: separating signal from noise
",yes,,,,,No,No,No,,,,,,No,34,Male,Senior Investigator,Other,Postdoc,Phd,
PMC5830331,2018,Genome_Med,"NSAID use and somatic exomic mutations in Barrett’s esophagus
",no,yes,No (Available upon request),,,No,No,No,,,,,,No,13,,,,,BS,Other
PMC5872584,2018,Genome_Med,Elevated polygenic burden for autism is associated with differential DNA methylation at birth,no,yes,No (Available upon request),,,Yes,Yes,Yes,Analytical,GitHub,No,,,Upon request,61,Male,Professor,"Other, Genetics",Postdoc,Phd,"Other, Genetics"
PMC6286558,2018,Genome_Med,"Complex structural variants in Mendelian disorders: identification and breakpoint resolution using short- and long-read genome sequencing
",no,yes,yes,other,EGP,No,No,No,,,,,,No,73,Female,Director ,"Other, Genetics",Postdoc,Postdoc,Other
PMC6162943,2018,Genome_Med,"Advanced model systems and tools for basic and translational human immunology
",yes,,,,,No,No,No,,,,,,No,52,Male,Professor,Other,Phd,Phd,Other
PMC5902843,2018,Genome_Med,"Integrative analysis reveals functional and regulatory roles of H3K79me2 in mediating alternative splicing
",yes,,,,,No,No,No,,,,,,No,22,Male,Professor,Other,Phd,MS,Other
PMC6309089,2018,Genome_Med,"Polygenic risk scores: a biased prediction?
",yes,,,,,No,No,No,,,,,,No,64,Male,Professor,Other,Postdoc,Phd,"Other, Genetics"
PMC5968547,2018,Genome_Med,"Antifungal immune responses: emerging host–pathogen interactions and translational implications
",yes,,,,,No,No,No,,,,,,No,5,Male,Professor,Other,Postdoc,Phd,"Other, Genetics"
PMC6208080,2018,Genome_Med,"Distinct microbes, metabolites, and ecologies define the microbiome in deficient and proficient mismatch repair colorectal cancers
",yes,,,,,No,No,No,,,,,,No,67,Male,Assistant Professor,Other,Phd,Phd,Other
PMC6109350,2018,Genome_Med,"Exploring the pre-immune landscape of antigen-specific T cells
",yes,,,,,Yes,Yes,Yes,Analytical,GitHub,Yes,Rmd,Multiple,Yes,26,Male,Head,Other,Phd,,
PMC5992758,2018,Genome_Med,"A computational tool to detect DNA alterations tailored to formalin-fixed paraffin-embedded samples in cancer clinical sequencing
",yes,,,,,Yes,Yes,Yes,Tool,GitHub,No,,,No,16,Male,Professor,Other,"MD, Postdoc",Phd,Other
PMC6329375,2018,Nat_Biotechnol,"Human ESC-Derived Cardiomyocytes Restore Function in Infarcted Hearts of Non-Human Primates
",no,no,no,,,No,No,No,,,,,,No,307,Male,Professor,Other,"MD,Postdoc",Phd,Other
PMC6072461,2018,Nat_Biotechnol,"Dual gene activation and knockout screen reveals directional dependencies in genetic networks
",no,yes,yes,SRA,,No,No,No,,,,,,No,91,Male,Professor,"Other, Genetics",Postdoc,Postdoc,Other
PMC6093211,2018,Nat_Biotechnol,"ED SUM: Signaling by the neurotransmitter acetylcholine is monitored in cells and animals with a sensitive reporter.
",no,yes,yes,other,Addgene,No,No,No,,,,,,No,0,Male,Professor,Other,Phd,Phd,Other
PMC6126964,2018,Nat_Biotechnol,"Diseases caused by different mutations in the two alleles of a gene are treated in mice by Cas-9-induced allelic exchange.
",no,yes,yes,SRA,,No,No,No,,,,,,No,0,Male,Professor,Other,Postdoc,Phd,"Other, Genetics"
PMC6488461,2018,Nat_Biotechnol,"Identification of spatially associated subpopulations by combining scRNA-seq and sequential fluorescence in situ hybridization data
",no,yes,yes,GEO,,No,No,No,,,,,,No,104,Male,Professor,Other,Postdoc,Phd,Other
PMC5990468,2018,Nat_Biotechnol,"High-throughput creation and functional profiling of DNA sequence variant libraries using CRISPR/Cas9 in yeast
",no,yes,yes,SRA,,Yes,No (Available upon request),No,,,,,,No,53,Male,Professor,Other,Phd,Phd,
PMC5942543,2018,Nat_Biotechnol,"Simultaneous lineage tracing and cell-type identification using CRISPR/Cas9-induced genetic scars
",no,yes,yes,GEO,,Yes,No (Link expired),No,,,,,,No,274,Male,Group Leader,Other,Postdoc,Phd,Bioinformatics
PMC6526074,2018,Nat_Biotechnol,"RNAi Modulation of Placental sFLT1 for the Treatment of Preeclampsia.
",yes,,,,,No,No,No,,,,,,No,85,Female,Professor,Other,Postdoc,Postdoc,Other
 PMC6436528,2018,Nat_Biotechnol,"Minimum information about a single amplified genome (MISAG) and a metagenome-assembled genome (MIMAG) of bacteria and archaea
",yes,,,,,No,No,No,,,,,,No,10,Female,Program Lead,"Other, Genetics",Postdoc,Postdoc,Other
PMC6590076,2018,Nat_Biotechnol,"Encoding human serine phosphopeptides in bacteria for proteome-wide identification of phosphorylation-dependent interactions
",yes,,,,,No,Yes,Yes,Analytical,GitHub,No,,,No,19,Male,Associate Professor,Other,Phd,Phd,Other
PMC6168378,2018,Nat_Genet,Genome-wide association analyses identify 39 new susceptibility loci for diverticular disease,no,yes,no,,,No,No,No,,,,,,No,57,Female,Professor,Other,"MD,Phd",MD,Other
PMC5984618,2018,Nat_Genet,The Rosa genome provides new insights into the domestication of modern roses,no,yes,yes,other,DDBJ/ENA/GenBank,No,No,No,,,,,,No,187,Male,Research Director,Other,Postdoc,,
PMC5934307,2018,Nat_Genet,Discordant inheritance of chromosomal and extrachromosomal DNA elements contributes to dynamic disease evolution in glioblastoma,no,yes,yes,other,EGA,No,No,No,,,,,,No,123,Male,Professor,Other,Postdoc,Postdoc,Other
PMC6521726,2018,Nat_Genet,"Genetics of Blood Lipids Among ~300,000 Multi-Ethnic Participants of the Million Veteran Program",no,yes,yes,other,dbGaP,No,No,No,,,,,,No,287,Male,Associate Professor,"Other, Biostatistics","MD, Phd",MD,Other
PMC5898373,2018,Nat_Genet,"Refining the accuracy of validated target identification through coding variant fine-mapping in type 2 diabetes
",yes,,,,,No,No,No,,,,,,No,223,Male,Executive Director,Other,MD,Phd,Other
PMC5896734,2018,Nat_Genet,"Genome-wide analyses using UK Biobank data provide insights into the genetic architecture of osteoarthritis
",yes,,,,,No,No,No,,,,,,No,139,Female,Group Leader,"Other, Genetics",Postdoc,,
PMC5934350,2018,Nat_Genet,Comparison of methods that use whole genome data to estimate the heritability and genetic architecture of complex traits,yes,,,,,No,No,No,,,,,,No,162,Male,Professor,Other,Phd,Phd,"Other, Genetics"
PMC5935235,2018,Nat_Genet,Regulatory variants at KLF14 influence type 2 diabetes risk via a female-specific effect on adipocyte size and body composition,yes,,,,,No,No,No,,,,,,No,83,Male,Executive Director,Other,MD,Phd,"Other, Genetics"
PMC5942247,2018,Nat_Genet,A large electronic health record-based genome-wide study of serum lipids,yes,,,,,No,No,No,,,,,,No,141,Male,Professor,"Other, Biomaths",Phd,Phd,CS
PMC6330062,2018,Nat_Genet,"High resolution genetic mapping of putative causal interactions between regions of open chromatin
",yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,57,Male,Group Leader,"Other, Genetics",Phd,Postdoc,"Other, Genetics"
PMC6380887,2018,Nat_Methods,Inferring single-trial neural population dynamics using sequential auto-encoders,no,yes,No (Available upon request),,,Yes,Yes,Yes,Pipeline,Supplementary,No,,,No,287,Male,Adjunt Professor,"Other, Computational Neuroscience",Postdoc,Postdoc,Other
PMC6677388,2018,Nat_Methods,Reliability of human 3D cortical organoid generation,no,yes,yes,GEO,,No,No,No,,,,,,No,176,Male,Associate Professor,Other,Postdoc,Postdoc,"Other, Genetics"
PMC5990454,2018,Nat_Methods,Picky Comprehensively Detects High Resolution Structural Variants in Nanopore Long Reads,no,yes,yes,SRA,,Yes,Yes,Yes,Pipeline,GitHub,No,,,No,57,Female,Professor,Other,Postdoc,Postdoc,"Other, Genetics"
PMC6152898,2018,Nat_Methods,Improved Ribo-seq enables identification of cryptic translation events,no,yes,yes,other,PXD,Yes,Yes,Yes,Pipeline,GitHub,,,,No,71,Male,,,,,
PMC6624853,2018,Nat_Methods,Analyzing complex single molecule emission patterns with deep learning,yes,,,,,No,No,No,,,,,,No,50,Male,Assistant Professor,Other,Phd,Phd,Other
PMC6345375,2018,Nat_Methods,Modified aptamers enable quantitative sub-10-nm cellular DNA-PAINT imaging,yes,,,,,No,No,No,,,,,,No,96,Male,Professor,Other,Postdoc,Postdoc,Other
PMC6235447,2018,Nat_Methods,Species-level functional profiling of metagenomes and metatranscriptomes,yes,,,,,Yes,No,No,,,,,,No,635,Male,Professor,CS,Phd,Phd,Bioinformatics
PMC6204345,2018,Nat_Methods,All-optical synaptic electrophysiology probes mechanism of ketamine-induced disinhibition,yes,,,,,Yes,No (Available upon request),No,,,,,,No,25,Male,Professor,Other,Phd,Phd,Other
PMC6076999,2018,Nat_Methods,Genome-wide SWAp-tag yeast libraries for proteome exploration,yes,,,,,Yes,Yes,Yes,Analytical,GitHub,No,,,Yes,67,Female,Professor,"Other, Genetics",Phd,Postdoc,Other
PMC6289068,2018,Nat_Methods,Deep Generative Modeling for Single-cell Transcriptomics,yes,,,,,Yes,Yes,Yes,Analytical,GitHub,Yes,Notebook,Multiple,Yes,495,Male,Associate Professor,Other,Phd,Phd,CS
PMC6009585,2018,Nucleic_Acids_Res,The longevity SNP rs2802292 uncovered: HSF1 activates stress-dependent expression of FOXO3 through an intronic enhancer,no,no,no,,,No,No,No,,,,,,No,44,Male,Associate Professor,Other,"MD, Phd",Phd,Other
PMC5861426,2018,Nucleic_Acids_Res,Characterization of DNA ADP-ribosyltransferase activities of PARP2 and PARP3: new insights into DNA ADP-ribosylation,no,no,no,,,No,No,No,,,,,,No,71,,,,,Phd,Other
PMC6182162,2018,Nucleic_Acids_Res,NAD+-dependent synthesis of a 5′-phospho-ADP-ribosylated RNA/DNA cap by RNA 2′-phosphotransferase Tpt1,no,no,no,,,No,No,No,,,,,,No,22,Male,Professor,Other,"MD, Phd",Phd,Other
PMC5961129,2018,Nucleic_Acids_Res,Expanding RNA binding specificity and affinity of engineered PUF domains,no,yes,yes,other,Protein Data Bank,No,No,No,,,,,,No,25,Male,Professor,Other,Postdoc,,
PMC6212713,2018,Nucleic_Acids_Res,Schizosaccharomyces pombe Pol II transcription elongation factor ELL functions as part of a rudimentary super elongation complex,no,yes,yes,GEO,,No,No,No,,,,,,No,3,Female,Professor,Other,Postdoc,Postdoc,Other
PMC6379650,2018,Nucleic_Acids_Res,NMR solution structure of an asymmetric intermolecular leaped V-shape G-quadruplex: selective recognition of the d(G2NG3NG4) sequence motif by a short linear G-rich DNA probe,no,yes,yes,other,Protein Data Bank,No,No,No,,,,,,No,14,Male,Professor,Other,Phd,,
PMC6125643,2018,Nucleic_Acids_Res,"Development of the variant calling algorithm, ADIScan, and its use to estimate discordant sequences between monozygotic twins",no,yes,yes,other,Korea National Institute of Health,Yes,No (Link expired),No,,,,,,Can't tell,4,Male,CEO,Bioinformatics,Phd,MD,Other
PMC6212719,2018,Nucleic_Acids_Res,RbpA relaxes promoter selectivity of M. tuberculosis RNA polymerase,yes,,,,,No,No,No,,,,,,No,9,,,,,Postdoc,Other
PMC6009581,2018,Nucleic_Acids_Res,"Methylation guide RNA evolution in archaea: structure, function and genomic organization of 110 C/D box sRNA families across six Pyrobaculum species",yes,,,,,No,No,No,,,,,,No,8,,,,,Phd,Bioinformatics
PMC6030935,2018,Nucleic_Acids_Res,IUPred2A: context-dependent prediction of protein disorder as a function of redox state and protein binding,yes,,,,,No,Yes,Yes,Pipeline,Other (Website),No,,,No,575,Female,Professor,Other,Postdoc,Postdoc,Other
PMC6612848,2019,Bioinformatics,Large-scale mammalian genome rearrangements coincide with chromatin interactions,no,no,no,,,Yes,No (No access on BitBucket),No,pipeline,BitBucket,no,,,no,56,Male,Professor,CS,Postdoc,Postdoc,CS
PMC6612824,2019,Bioinformatics,Prediction of mRNA subcellular localization using deep recurrent neural networks,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,no,46,Male,Professor,CS,Postdoc,Phd,CS
PMC6792070,2019,Bioinformatics,The TMCrys server for supporting crystallization of transmembrane proteins,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,no,13,Male,Member ,Other,Phd,Phd,Molecular Genetics
PMC6612899,2019,Bioinformatics,PRECISE: a domain adaptation approach to transfer predictors of drug response from pre-clinical models to tumors,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,29,Male,Director of Reseach,CS,Phd,Phd,Other
PMC6612898,2019,Bioinformatics,MCS2: minimal coordinated supports for fast enumeration of minimal cut sets in metabolic networks,no,no,no,,,Yes,Yes,Yes,tool,GitHub,no,,,no,42,Male,Lecturer,CS,Phd,MS,CS
PMC6954654,2019,Bioinformatics,scRNABatchQC: multi-samples quality control for single cell RNA-seq data,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,9,Male,Chair,Biostatistics,Phd,Phd,Bioinformatics
